Year,Mosquitos,Greece,Italy,Cyprus, France,Germany,Spain,Netherlands
2017,Plasmodium vivax,1,,3,,,,
2017,P. falciparum,6,6,,,1,1,
2017,P. ovale,,1,,,,,
2017,Unknown,,,,2,,,
2017,Mixed,,,,,,,
2018,Plasmodium vivax,10,,,,,,
2018,P. falciparum,,1,,,,1,
2018,P. ovale,,,,,,,
2018,Unknown,,,,1,,,
2018,Mixed,,,,,,1,
2019,Plasmodium vivax,,,,,,,
2019,P. falciparum,,,,,,,
2019,P. ovale,,,,,,,
2019,Unknown,2,,,2,2,2,1
2019,Mixed,,,,,,,
2020,Plasmodium vivax,,,,,,,
2020,P. falciparum,,,,,,,
2020,P. ovale,,,,,,,
2020,Unknown,2,,,3,,,
2020,Mixed,,,,,,,